Start Date,End Date,Product name,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,Maritimes (1),Newfoundland and Labrador,Canada (2)
2021-01-03,2021-01-30,Pork Ribs,11.71,11.29,11.57,11.36,9.57,11.01,8.95,8.05,10.4
2021-01-31,2021-02-27,Pork Ribs,8.96,8.86,9.09,8.62,9.87,9.64,7.5,6.41,9.11
2021-02-28,2021-03-27,Pork Ribs,10.84,10.99,11.54,11.25,9.88,8.98,8.03,7.43,9.97
2021-03-28,2021-04-24,Pork Ribs,12.16,11.12,11.9,11.56,9.76,12.06,10.22,10.44,10.61
2021-04-25,2021-05-22,Pork Ribs,11.48,11.43,12.62,11.32,9.53,9.8,8.72,7.65,10.19
2021-05-23,2021-06-19,Pork Ribs,12.09,12.1,12.91,12.52,11.94,13.23,12.34,11.4,12.2
2021-06-20,2021-07-17,Pork Ribs,13.67,13.27,13.43,13.21,12.08,14.01,10.49,11.42,12.67
2021-07-18,2021-08-14,Pork Ribs,13.8,13.37,14.53,13.95,13.79,14.32,12.76,13.51,13.75
2021-08-15,2021-09-11,Pork Ribs,13.19,13.28,14.06,13.79,13.1,9.73,12.73,12.11,12.62
2021-09-12,2021-10-09,Pork Ribs,12.51,11.59,12.1,11.92,10.45,9.57,10.77,12.73,10.92
2021-10-10,2021-11-06,Pork Ribs,13.69,12.97,13.38,13.09,12.17,12.82,11.12,11.5,12.61
2021-11-07,2021-12-04,Pork Ribs,12.35,11.43,12.28,11.79,12.34,12.76,11.04,11.86,12.09
2021-12-05,2022-01-01,Pork Ribs,13.79,12.95,13.75,13.46,12.29,13.29,11.54,9.25,12.71
2021-01-03,2021-01-30,Pork Roast,6.32,9.13,9.62,9.57,8.91,6.08,6.18,6.02,7.27
2021-01-31,2021-02-27,Pork Roast,9.71,9.55,9.4,9.38,8.41,5.55,6.37,5.79,7.23
2021-02-28,2021-03-27,Pork Roast,9.6,9.56,9.47,9.27,7.45,6,6.06,5.82,7.19
2021-03-28,2021-04-24,Pork Roast,8.58,7.55,9,8.53,8.93,5.01,5.4,4.82,6.67
2021-04-25,2021-05-22,Pork Roast,9.32,9.35,9.34,9.36,9.37,5.84,6.16,6.18,7.8
2021-05-23,2021-06-19,Pork Roast,9.11,9.05,9.83,9.61,8.03,5.81,5.94,5.33,7.37
2021-06-20,2021-07-17,Pork Roast,9.69,9.95,10.1,10.4,7.96,8.13,6.7,7.32,8.39
2021-07-18,2021-08-14,Pork Roast,10.14,9.66,10.17,10.29,9,6.21,6.35,5.78,7.97
2021-08-15,2021-09-11,Pork Roast,9.63,10.12,9.88,9.67,9.6,5.43,7.66,7.22,7.5
2021-09-12,2021-10-09,Pork Roast,10.94,10.16,9.93,9.94,9.84,6.37,7.76,7.97,8.34
2021-10-10,2021-11-06,Pork Roast,9.68,9.98,10.53,10.03,8.38,7.2,6.59,6.25,8.06
2021-11-07,2021-12-04,Pork Roast,10.55,9.92,10.08,10.34,9.87,9.48,7.27,7.01,9.43
2021-12-05,2022-01-01,Pork Roast,10.68,10.71,10.83,11.01,10.28,9.3,7.81,8.64,9.82
2021-01-03,2021-01-30,Pork Tenderloin,10.48,11.55,11.45,11.42,11.22,13.49,10.18,9.8,11.8
2021-01-31,2021-02-27,Pork Tenderloin,11.27,10.63,10.2,10.1,8.97,9.42,11.12,12.38,9.57
2021-02-28,2021-03-27,Pork Tenderloin,12.22,12.01,11.3,11.53,11.31,9.79,12.61,11.5,10.67
2021-03-28,2021-04-24,Pork Tenderloin,12.49,12.18,11.61,11.94,10.26,9.33,11.64,11.59,10.13
2021-04-25,2021-05-22,Pork Tenderloin,11.15,10.23,10.23,10.09,11.68,14.62,10.66,10.05,12.12
2021-05-23,2021-06-19,Pork Tenderloin,13.19,13.94,12.49,12.98,12.24,16.02,13.12,11.61,13.79
2021-06-20,2021-07-17,Pork Tenderloin,15,12.72,12.05,12.65,11.56,11.43,12.3,11.57,11.83
2021-07-18,2021-08-14,Pork Tenderloin,15.56,14.48,12.98,13.51,13.07,15.12,12.13,12.12,14.16
2021-08-15,2021-09-11,Pork Tenderloin,13.45,12.98,12.37,12.36,11.1,13.94,10.46,9.94,12.37
2021-09-12,2021-10-09,Pork Tenderloin,13.96,12.77,12.45,12.19,10.79,11.47,10.83,10.32,11.5
2021-10-10,2021-11-06,Pork Tenderloin,15.17,14.93,13.38,13.75,14.17,14,13.09,12.61,14.16
2021-11-07,2021-12-04,Pork Tenderloin,10.21,10.8,11.02,11.25,11.65,12.08,14.14,12.41,11.57
2021-12-05,2022-01-01,Pork Tenderloin,13.41,12.92,12.14,12.35,11.27,11.41,13.36,11.98,11.68
2021-01-03,2021-01-30,Pork Chops,11.08,10.8,10.5,10.62,10.69,9.04,7.39,7.36,9.88
2021-01-31,2021-02-27,Pork Chops,10.23,10.38,9.97,10.13,8.62,8.08,7.57,7.2,8.79
2021-02-28,2021-03-27,Pork Chops,9.67,9.35,9.47,9.42,7.68,7.87,7.23,6.45,8.11
2021-03-28,2021-04-24,Pork Chops,10.74,10.67,10.36,10.39,9.37,8.2,8.56,7.59,9.31
2021-04-25,2021-05-22,Pork Chops,10.33,10.05,10.26,10.05,9.04,7.84,7.57,7.06,8.82
2021-05-23,2021-06-19,Pork Chops,10.22,10.02,9.89,9.99,9.56,7.97,8.18,7.15,9.07
2021-06-20,2021-07-17,Pork Chops,11.44,11.56,10.92,11.18,10.75,9.27,7.89,7.6,10.14
2021-07-18,2021-08-14,Pork Chops,10.72,10.14,10.31,10.21,9.35,8.21,8.26,7.56,9.16
2021-08-15,2021-09-11,Pork Chops,11.84,11.3,10.88,10.84,8.24,9.37,8.61,7.37,9.21
2021-09-12,2021-10-09,Pork Chops,10.53,9.67,9.76,9.68,10.06,7.84,7.91,7.27,9.14
2021-10-10,2021-11-06,Pork Chops,11.75,11.41,10.67,10.72,9.19,7.8,7.96,8.15,9.18
2021-11-07,2021-12-04,Pork Chops,11.84,11.27,10.79,10.74,9.44,8.72,8,6.69,9.49
2021-12-05,2022-01-01,Pork Chops,11.99,11.74,11.08,11.09,9.8,8.43,8.42,9.38,9.79
2021-01-03,2021-01-30,Pork Grinds,9.37,9.05,9.1,9.07,7.21,7.45,10.4,9.77,7.84
2021-01-31,2021-02-27,Pork Grinds,10.05,9.48,8.98,9.04,9.47,7.83,9.84,9.58,8.84
2021-02-28,2021-03-27,Pork Grinds,10.06,9.6,9,9.04,9.14,6.52,10.21,9.18,7.91
2021-03-28,2021-04-24,Pork Grinds,9.55,9.21,9.04,9,9.58,8.93,9.96,9.15,9.27
2021-04-25,2021-05-22,Pork Grinds,9.64,9.41,9.07,9.05,9.44,7.71,9.9,9.07,8.71
2021-05-23,2021-06-19,Pork Grinds,9.69,9.41,8.95,8.96,8.82,6.24,8.8,9.1,7.59
2021-06-20,2021-07-17,Pork Grinds,9.76,9.51,9.28,9.26,9.55,9.44,9.69,8.87,9.52
2021-07-18,2021-08-14,Pork Grinds,9.67,9.48,8.82,8.76,9.01,7.73,10.73,9.24,8.58
2021-08-15,2021-09-11,Pork Grinds,10.04,9.89,9.41,9.32,9.37,7.25,11.01,9.5,8.44
2021-09-12,2021-10-09,Pork Grinds,10.54,10.11,9.47,9.45,9.83,9.98,11.11,9.84,10.03
2021-10-10,2021-11-06,Pork Grinds,10.56,10.11,9.76,9.7,9.97,7.48,11.4,9.47,8.65
2021-11-07,2021-12-04,Pork Grinds,10.39,10.1,9.61,9.53,9.76,6.72,9.95,9.45,7.89
2021-12-05,2022-01-01,Pork Grinds,10.53,10.15,9.72,9.76,10.22,6.81,9.84,9.82,7.94
