Start Date,End Date,Product name,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,Maritimes (1),Newfoundland and Labrador,Canada (2)
2023-01-01,2023-01-28,Large Regular White Eggs,4,"4,11","3,87","3,85","3,75","3,27","4,15","4,24","3,71"
2023-01-29,2023-02-25,Large Regular White Eggs,"3,96","4,02","3,99","3,91","3,69","3,37","4,21","4,38","3,73"
2023-02-26,2023-03-25,Large Regular White Eggs,"3,97",4,"3,85","3,73","3,7","3,4","3,66",4,"3,69"
2023-03-26,2023-04-22,Large Regular White Eggs,4,"4,06","3,94","3,89","3,68","3,2","4,32","4,52","3,67"
2023-04-23,2023-05-20,Large Regular White Eggs,"3,93","3,97","3,9","3,84","3,59","3,27","4,29","4,37","3,65"
2023-05-21,2023-06-17,Large Regular White Eggs,4,"4,04","3,9","3,88","3,72","3,27","4,27","4,54","3,73"
2023-06-18,2023-07-15,Large Regular White Eggs,4,"4,03","3,89","3,87","3,71","3,58","4,32","4,57","3,82"
2023-07-16,2023-08-12,Large Regular White Eggs,"4,11","4,13",4,4,"3,65","3,61","4,11","4,71","3,82"
2023-08-13,2023-09-09,Large Regular White Eggs,"4,14","4,17","4,05","4,06","3,78","3,54","4,45","4,5","3,87"
2023-09-10,2023-10-07,Large Regular White Eggs,"4,13","4,18","4,07","4,09","3,64","3,25","4,08","4,66","3,7"
2023-01-01,2023-01-28,Large Regular Brown Eggs,"4,94","4,77","4,75","4,76","4,76","5,01","5,17","5,31","4,86"
2023-01-29,2023-02-25,Large Regular Brown Eggs,"4,79","4,63","4,22","4,18","4,73","5,19","5,32","5,42","4,81"
2023-02-26,2023-03-25,Large Regular Brown Eggs,"4,73","4,62","4,14","4,05","4,76","5,1","5,33","5,38","4,79"
2023-03-26,2023-04-22,Large Regular Brown Eggs,"4,8","4,65","4,44","4,44","4,79","5,22","5,31","5,47","4,85"
2023-04-23,2023-05-20,Large Regular Brown Eggs,"4,8","4,88","4,79","4,71","4,84","5,05","5,35","5,44","4,88"
2023-05-21,2023-06-17,Large Regular Brown Eggs,"4,8","4,94","4,9","4,82","4,83","5,23","5,42","5,41","4,9"
2023-06-18,2023-07-15,Large Regular Brown Eggs,"4,84","4,95","4,87","4,8","4,84","4,92","5,45","5,7","4,89"
2023-07-16,2023-08-12,Large Regular Brown Eggs,"5,05","5,05",5,"4,91","4,96","5,1","5,57","5,89","5,04"
2023-08-13,2023-09-09,Large Regular Brown Eggs,"5,06","5,1","5,09","4,96","5,02","5,36","5,67","5,84","5,11"
2023-09-10,2023-10-07,Large Regular Brown Eggs,5,"5,04","5,04","4,96","5,05","5,38","5,67","5,77","5,1"
2023-01-01,2023-01-28,Large Free Run Eggs,"6,62","6,48","5,47","6,28","6,74","6,01","5,63","6,12","6,52"
2023-01-29,2023-02-25,Large Free Run Eggs,"6,69","6,52","5,49","6,31","6,72","5,72","5,77","6,27","6,48"
2023-02-26,2023-03-25,Large Free Run Eggs,"6,4","6,34","5,46","6,22","6,73","5,51","5,66","5,87","6,32"
2023-03-26,2023-04-22,Large Free Run Eggs,"6,62","6,54","5,58","6,39","6,85","5,62","5,76","6,06","6,5"
2023-04-23,2023-05-20,Large Free Run Eggs,"6,82","6,69","5,61","6,39","6,81","4,95","5,76","6,25","6,3"
2023-05-21,2023-06-17,Large Free Run Eggs,"6,69","6,68","5,46","6,28","6,83","4,97","5,79","6,07","6,27"
2023-06-18,2023-07-15,Large Free Run Eggs,"6,67","6,66","5,6","6,48","6,81","5,65","5,75","5,91","6,5"
2023-07-16,2023-08-12,Large Free Run Eggs,"6,81","6,78","5,6","6,47","6,91","5,68","5,81","6,08","6,58"
2023-08-13,2023-09-09,Large Free Run Eggs,"6,83","6,81","5,65","6,48","6,91","6,69","5,93","6,83","6,78"
2023-09-10,2023-10-07,Large Free Run Eggs,"6,62","6,36","5,67","6,43","6,86","5,7","5,82","6,74","6,49"
2023-01-01,2023-01-28,Large Free Range Eggs,"6,96","6,2","6,31","6,26","6,42","6,58","7,98",-,"6,73"
2023-01-29,2023-02-25,Large Free Range Eggs,"6,94","6,19","6,36","6,06","6,24","6,64","7,97",-,"6,65"
2023-02-26,2023-03-25,Large Free Range Eggs,"6,82","6,02","6,24","6,14","6,28","6,65","7,95",-,"6,58"
2023-03-26,2023-04-22,Large Free Range Eggs,"7,09","6,55","6,56","6,57","6,15","6,7","7,69",-,"6,74"
2023-04-23,2023-05-20,Large Free Range Eggs,"7,02","6,5","6,48","6,52","6,03","6,73","7,95",-,"6,65"
2023-05-21,2023-06-17,Large Free Range Eggs,"7,04","6,41","6,49","6,47","6,09","6,73","8,02",-,"6,67"
2023-06-18,2023-07-15,Large Free Range Eggs,"7,03","6,41","6,49","6,46","6,39","6,75","7,98",-,"6,78"
2023-07-16,2023-08-12,Large Free Range Eggs,"7,18","6,49","6,6","6,56","6,44","6,86","8,06",-,"6,88"
2023-08-13,2023-09-09,Large Free Range Eggs,"7,05","6,42","6,5","6,54","6,5","6,87","8,08",-,"6,82"
2023-09-10,2023-10-07,Large Free Range Eggs,"7,14","6,49","6,65","6,58","6,47","6,84","8,08",-,"6,87"
2023-01-01,2023-01-28,Large Organic Eggs,"7,58",7,"6,65","6,64","7,24","7,62","7,54","7,62","7,33"
2023-01-29,2023-02-25,Large Organic Eggs,"7,59","7,18","6,91","6,83","7,28","7,58","7,43","7,18","7,38"
2023-02-26,2023-03-25,Large Organic Eggs,"7,66","7,07","6,9","6,82","7,27","7,55","7,54","7,7","7,37"
2023-03-26,2023-04-22,Large Organic Eggs,"7,65","7,08","6,83","6,76","7,31","7,47","7,6","7,49","7,36"
2023-04-23,2023-05-20,Large Organic Eggs,"7,65","7,16","6,77","6,76","7,39","7,5","7,75","7,69","7,42"
2023-05-21,2023-06-17,Large Organic Eggs,"7,67","7,2","6,92","6,87","7,38","7,54","7,66","7,88","7,44"
2023-06-18,2023-07-15,Large Organic Eggs,"7,55","7,09","6,92","6,86","7,32","7,57","7,59","7,65","7,36"
2023-07-16,2023-08-12,Large Organic Eggs,"7,83","7,38","7,12","7,09","7,47","7,86","7,78","7,54","7,6"
2023-08-13,2023-09-09,Large Organic Eggs,"7,88","7,41","6,67","6,77","7,48","7,62","7,75","7,55","7,56"
2023-09-10,2023-10-07,Large Organic Eggs,"7,81","7,33","6,67","6,75","7,31","7,51","7,86","7,94","7,44"
2023-01-01,2023-01-28,Large Omega-3 Eggs,"5,46","5,69","5,81","5,75","5,23","5,2","5,18","5,63","5,33"
2023-01-29,2023-02-25,Large Omega-3 Eggs,"5,52","5,71","5,8","5,71","5,16","5,27","5,06","5,73","5,29"
2023-02-26,2023-03-25,Large Omega-3 Eggs,"5,51","5,64","5,79","5,62","5,11","5,39","5,38","5,3","5,26"
2023-03-26,2023-04-22,Large Omega-3 Eggs,"5,46","5,65","5,86","5,78","5,14","5,49","5,31","5,78","5,28"
2023-04-23,2023-05-20,Large Omega-3 Eggs,"5,54","5,67","5,87","5,77","5,15","5,3","5,26","5,61","5,28"
2023-05-21,2023-06-17,Large Omega-3 Eggs,"5,57","5,67","5,79","5,7","5,14","5,3","5,24","5,77","5,29"
2023-06-18,2023-07-15,Large Omega-3 Eggs,"5,64","5,7","5,88","5,79","5,21","5,37","5,47","5,79","5,37"
2023-07-16,2023-08-12,Large Omega-3 Eggs,"5,74","5,78","5,96","5,85","5,38","5,38","5,38","6,12","5,49"
2023-08-13,2023-09-09,Large Omega-3 Eggs,"5,53","5,84","6,05","5,95","5,4","5,66","5,41","6,29","5,51"
2023-09-10,2023-10-07,Large Omega-3 Eggs,"5,5","5,84","6,06","5,94","5,47","5,69","5,62","6,45","5,56"
