Start Date,End Date,Product name,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,Maritimes (1),Newfoundland and Labrador,Canada (2)
2023-01-01,2023-01-28,Whole fresh turkey,"4,3","5,68","4,59","4,99","5,22","8,29","4,56","6,42","5,61"
2023-01-29,2023-02-25,Whole fresh turkey,"6,58","7,09","7,2","6,64","6,73","7,74","6,73","8,41","7,04"
2023-02-26,2023-03-25,Whole fresh turkey,"7,65","6,45","8,3","7,51","6,97","7,38","8,26","8,94","7,19"
2023-03-26,2023-04-22,Whole fresh turkey,"4,41","4,97","5,12","4,98","4,2","5,72","4,81","5,43","4,56"
2023-04-23,2023-05-20,Whole fresh turkey,"7,9","6,36","7,23","6,59","8,48","7,7","5,27","8,91","7,19"
2023-05-21,2023-06-17,Whole fresh turkey,"8,54",7,"7,27","6,72","8,06","7,82","7,07","8,61","7,62"
2023-06-18,2023-07-15,Whole fresh turkey,"8,83","7,86","7,47","7,82","7,61","8,11","7,2","9,11","7,98"
2023-07-16,2023-08-12,Whole fresh turkey,"9,77","7,95","8,02","8,11","8,21","8,34","7,21","9,19","8,31"
2023-08-13,2023-09-09,Whole fresh turkey,"9,19","5,86","8,4","8,33","4,81","7,45","7,86","9,15","5,75"
2023-09-10,2023-10-07,Whole fresh turkey,"5,44","5,05","5,06","5,15","2,19","7,09","5,69","6,11","3,28"
2023-01-01,2023-01-28,Whole frozen turkey,"4,16","4,21","5,05","4,87","4,81","6,2","6,39","5,91","5,06"
2023-01-29,2023-02-25,Whole frozen turkey,"5,35","4,9","4,38","4,55","5,82","6,4","6,73","6,98","5,76"
2023-02-26,2023-03-25,Whole frozen turkey,"4,67","4,31","4,03","4,21","5,51","4,5","5,71","5,98","4,92"
2023-03-26,2023-04-22,Whole frozen turkey,"4,03","3,36","2,38","2,63","4,74",5,"5,64","5,65","4,2"
2023-04-23,2023-05-20,Whole frozen turkey,"4,2","4,27","4,73","4,6","4,12","5,3","6,05","6,62","4,67"
2023-05-21,2023-06-17,Whole frozen turkey,"4,52","3,78","3,48","3,94","4,72","5,31","6,6","6,96",5
2023-06-18,2023-07-15,Whole frozen turkey,"5,67","4,74","2,62","2,91","5,85","6,49","7,36","6,89","5,43"
2023-07-16,2023-08-12,Whole frozen turkey,"4,73","4,59","3,09","3,46","5,76","6,68","7,95","7,91","5,54"
2023-08-13,2023-09-09,Whole frozen turkey,"5,54","4,01","3,36","3,77","4,29","7,01","7,55","8,63","4,5"
2023-09-10,2023-10-07,Whole frozen turkey,"4,36","3,66","2,4","2,63","4,77","4,67","5,2","5,68","4,35"
2023-01-01,2023-01-28,Turkey breasts (Bone-in),"11,68","12,94","19,73","19,24","15,85","13,85","14,04","15,2","14,56"
2023-01-29,2023-02-25,Turkey breasts (Bone-in),"10,95","12,35","23,27","21,35","15,32","12,12","12,82","14,94","13,88"
2023-02-26,2023-03-25,Turkey breasts (Bone-in),"10,96","11,77","22,33","22,31","16,92","12,16","13,76","15,04","14,47"
2023-03-26,2023-04-22,Turkey breasts (Bone-in),"11,47","11,55","14,19","13,95","13,29","12,23","11,36","10,62","12,59"
2023-04-23,2023-05-20,Turkey breasts (Bone-in),"10,09","11,16","21,78","21,85","16,96","12,31","12,93","14,65","14,04"
2023-05-21,2023-06-17,Turkey breasts (Bone-in),"10,01","10,83","24,05","24,19","17,46","10,84","13,34","15,25","13,86"
2023-06-18,2023-07-15,Turkey breasts (Bone-in),"9,91","10,73","23,45","24,93","18,49","10,84","12,61","14,85","14,25"
2023-07-16,2023-08-12,Turkey breasts (Bone-in),"10,02","11,06","23,13","25,09","17,6","11,02","13,14","13,91","13,97"
2023-08-13,2023-09-09,Turkey breasts (Bone-in),"10,01","11,62","24,93","26,33","18,71","11,1","13,54","14,63","14,37"
2023-09-10,2023-10-07,Turkey breasts (Bone-in),"11,74","12,24","15,68","15,8","14,49","13,62","11,77","11,41","13,57"
2023-01-01,2023-01-28,Turkey breasts (Boneless),"18,61","19,3","16,79","17,12","16,53","16,54","17,98","15,38","17,33"
2023-01-29,2023-02-25,Turkey breasts (Boneless),"19,64","20,82","19,46","19,26","17,56","16,23","18,81","17,25","18,14"
2023-02-26,2023-03-25,Turkey breasts (Boneless),"20,05","20,88","19,44","19,23","18,33","15,55","19,1","17,05","18,33"
2023-03-26,2023-04-22,Turkey breasts (Boneless),"16,25","14,12","13,33","12,69","15,6","14,44","14,79","14,52","14,98"
2023-04-23,2023-05-20,Turkey breasts (Boneless),"19,91","20,84","19,77","19,31","17,34","13,02","16,36","14,32","16,98"
2023-05-21,2023-06-17,Turkey breasts (Boneless),"20,69","22,04","20,66","19,38","18,48","13,02","19,1","15,68","17,25"
2023-06-18,2023-07-15,Turkey breasts (Boneless),"20,62","22,05","20,38","20,49","18,3","12,9","19,42","16,06","17,18"
2023-07-16,2023-08-12,Turkey breasts (Boneless),"20,56","22,23","19,29","19,2","18,95","12,42","19,95","14,17","17,29"
2023-08-13,2023-09-09,Turkey breasts (Boneless),"21,29","22,06","20,02","20,25","19,56","12,66","21,72","16,12","17,85"
2023-09-10,2023-10-07,Turkey breasts (Boneless),"16,7","14,27","13,17","12,59","16,08","14,28","15,52","14,1","15,3"
2023-01-01,2023-01-28,Turkey thigh (Bone-in),"10,48","10,04","10,06","9,91","11,06","10,5","10,01","8,97","10,69"
2023-01-29,2023-02-25,Turkey thigh (Bone-in),"11,84","11,43","11,35","10,95","10,75","10,68","9,54",9,"10,86"
2023-02-26,2023-03-25,Turkey thigh (Bone-in),12,"11,73","11,25","11,02","11,19","10,79","10,54","9,19","11,23"
2023-03-26,2023-04-22,Turkey thigh (Bone-in),"9,68","9,62","9,57","9,28","10,73","10,61","9,69","9,29","10,23"
2023-04-23,2023-05-20,Turkey thigh (Bone-in),"11,96","11,79","12,39","11,6","10,91","10,54","10,37","9,56","11,07"
2023-05-21,2023-06-17,Turkey thigh (Bone-in),"11,38","11,24","11,86","10,68","11,17","11,02","10,44","10,22","11,12"
2023-06-18,2023-07-15,Turkey thigh (Bone-in),"11,53","11,22","11,84","11,09","11,27","10,4","10,58","9,55","11,13"
2023-07-16,2023-08-12,Turkey thigh (Bone-in),"11,41","11,28","12,18","11,43","11,25","10,47","10,84","9,32","11,14"
2023-08-13,2023-09-09,Turkey thigh (Bone-in),"11,45","11,26","12,3","11,32","11,39","10,88","11,87","10,01","11,32"
2023-09-10,2023-10-07,Turkey thigh (Bone-in),"11,76","11,31","11,93","11,59","11,33","10,85","11,98","11,56","11,37"
2023-01-01,2023-01-28,Turkey thigh (Boneless),"15,79","9,36",-,-,"11,14","13,95",10,-,"13,04"
2023-01-29,2023-02-25,Turkey thigh (Boneless),"13,84","9,4",-,-,"14,92","13,85",-,-,"12,95"
2023-02-26,2023-03-25,Turkey thigh (Boneless),"15,94","9,6",-,-,"13,08","13,6",-,15,"14,25"
2023-03-26,2023-04-22,Turkey thigh (Boneless),"16,43","9,23","9,85","8,8","10,31","13,16","8,82","15,26","13,01"
2023-04-23,2023-05-20,Turkey thigh (Boneless),"15,22","9,77",-,"17,6","15,33","14,09",-,-,"14,06"
2023-05-21,2023-06-17,Turkey thigh (Boneless),"16,18","9,24",-,-,"15,01","14,91","7,6",15,"14,01"
2023-06-18,2023-07-15,Turkey thigh (Boneless),"15,77","9,17","20,97","20,97","15,66","14,6",-,"16,67","14,33"
