Start Date,End Date,Product name,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,Maritimes (1),Newfoundland and Labrador,Canada (2)
2023-01-01,2023-01-28,Pork Ribs,"10,66","9,96","10,14","9,89","8,97","8,45","8,73","9,11","9,28"
2023-01-29,2023-02-25,Pork Ribs,"12,25","11,86","10,65","10,89","9,61","8,43","8,67","8,7","9,87"
2023-02-26,2023-03-25,Pork Ribs,"10,82","10,7","10,78","10,59","8,26","11,33","7,82","8,45","9,18"
2023-03-26,2023-04-22,Pork Ribs,"11,17","10,75","10,96","10,75","8,57","8,75","9,35","8,44","9,39"
2023-04-23,2023-05-20,Pork Ribs,"11,34","10,01","11,02","10,79","8,58","7,7","8,93","11,5","9,06"
2023-05-21,2023-06-17,Pork Ribs,"12,15","10,56","10,3","10,36","8,27","9,86","8,35","9,43","9,35"
2023-06-18,2023-07-15,Pork Ribs,"10,66","10,79","10,8","10,57","7,8","9,85","9,55","9,2","8,93"
2023-07-16,2023-08-12,Pork Ribs,"10,38","10,22","10,52","10,2","8,68","9,38","8,97","9,36","9,41"
2023-08-13,2023-09-09,Pork Ribs,"10,99","10,31","10,86","10,68","9,24","10,09","9,36","13,12",10
2023-09-10,2023-10-07,Pork Ribs,"12,53","11,64","11,78","11,34","8,44","8,88","10,95","12,18","9,68"
2023-01-01,2023-01-28,Pork Roast,"10,04","10,38","10,92","10,72","9,43","8,54","8,07","7,58","9,21"
2023-01-29,2023-02-25,Pork Roast,"10,04","8,95","9,09","9,18","8,9","6,75","6,88","6,79","7,85"
2023-02-26,2023-03-25,Pork Roast,"10,3","8,94","9,7","9,61","8,53","6,84","7,26","6,47","7,95"
2023-03-26,2023-04-22,Pork Roast,"10,9","9,34","10,36","10,13",10,"8,23","7,83","7,35","9,16"
2023-04-23,2023-05-20,Pork Roast,"11,31","10,75","10,95","10,95","9,34","8,24","9,01","8,38","9,43"
2023-05-21,2023-06-17,Pork Roast,"10,67","11,38","10,92","11,32","9,26","8,11","8,63","8,4","9,34"
2023-06-18,2023-07-15,Pork Roast,11,"11,23","11,24","11,69","9,18","8,88","9,1","9,36","9,71"
2023-07-16,2023-08-12,Pork Roast,"11,16","10,56","10,91","10,91","9,73","8,66","9,97","10,07","9,76"
2023-08-13,2023-09-09,Pork Roast,"11,49","11,57","11,05","11,35","10,06","7,87","9,07","8,13","9,46"
2023-09-10,2023-10-07,Pork Roast,"11,39","10,38","10,34","10,53","11,27","5,92","10,06","10,53","8,37"
2023-01-01,2023-01-28,Pork Tenderloin,"11,35","11,74","11,7","11,31","11,18","10,64","11,27","10,7",11
2023-01-29,2023-02-25,Pork Tenderloin,"13,74","13,33","12,42","11,84","9,05","11,35","13,48","11,77","10,7"
2023-02-26,2023-03-25,Pork Tenderloin,"8,36","10,12","10,95","11,29","9,64","10,86","13,55","10,88","10,15"
2023-03-26,2023-04-22,Pork Tenderloin,"12,82",12,"11,44","11,06","10,36","9,46","8,86","8,73","10,03"
2023-04-23,2023-05-20,Pork Tenderloin,"12,05","11,04","11,4","11,16","9,76","10,14","10,35","10,31","10,36"
2023-05-21,2023-06-17,Pork Tenderloin,"14,2","12,21","12,13","11,97","9,49","10,47","10,89","10,73","10,6"
2023-06-18,2023-07-15,Pork Tenderloin,"12,47","10,99","11,14","11,04","9,64","9,56","11,5","11,55","10,09"
2023-07-16,2023-08-12,Pork Tenderloin,"13,69","12,85","12,08","12,1","11,67","10,62","11,92","12,08","11,51"
2023-08-13,2023-09-09,Pork Tenderloin,"10,97","10,5","10,78","10,34","9,57","10,09","11,12","11,2","10,17"
2023-09-10,2023-10-07,Pork Tenderloin,"13,9","12,23","11,74","11,69","9,15","10,34","12,46","11,6","10,46"
2023-01-01,2023-01-28,Pork Chops,"10,24","9,22","9,19","9,18","8,88","8,94","10,17","9,44","9,22"
2023-01-29,2023-02-25,Pork Chops,"11,09","10,7","10,48","10,32","9,66","8,8","8,91","8,51","9,65"
2023-02-26,2023-03-25,Pork Chops,"11,32","11,06","10,89","10,78","7,59","10,14","8,6","8,43","8,98"
2023-03-26,2023-04-22,Pork Chops,"10,94","10,01","10,26",10,"9,03","8,91","9,18","8,39","9,37"
2023-04-23,2023-05-20,Pork Chops,"11,45","10,91","10,73","10,77","9,26","9,9","11,16","10,7","10,08"
2023-05-21,2023-06-17,Pork Chops,"11,55","10,62","10,68","10,63","8,49","9,4","8,09","7,56","9,19"
2023-06-18,2023-07-15,Pork Chops,"11,92","11,28","10,97","10,9","10,3","10,09","9,25","8,98","10,41"
2023-07-16,2023-08-12,Pork Chops,"11,78",11,"10,86","10,8","8,1","9,91","8,42","8,72","9,28"
2023-08-13,2023-09-09,Pork Chops,"11,01","10,62","10,59","10,47","9,73","8,66","9,34","9,54","9,7"
2023-09-10,2023-10-07,Pork Chops,"11,54","10,9","11,01","10,81","9,41","10,5","9,18","8,35","10,01"
2023-01-01,2023-01-28,Pork Grinds,"10,4","9,76","9,45","9,31","8,51","9,48","11,22","9,98","9,36"
2023-01-29,2023-02-25,Pork Grinds,"11,08","9,9","9,32","9,26","9,94","8,04","11,11","10,09","9,17"
2023-02-26,2023-03-25,Pork Grinds,"10,92","10,24","9,88","9,78","10,15","9,35","11,44","9,27","9,94"
2023-03-26,2023-04-22,Pork Grinds,11,"10,41","10,11","10,05","9,97","7,96","11,14","9,75","9,18"
2023-04-23,2023-05-20,Pork Grinds,"10,91","10,07","9,95","9,88","10,26","9,41","11,14","9,61","9,97"
2023-05-21,2023-06-17,Pork Grinds,"10,74","9,92","9,46","9,46","9,2","7,92","10,81","9,45","8,86"
2023-06-18,2023-07-15,Pork Grinds,"10,52","9,51","9,67","9,56","9,87","7,91","10,63","9,03","8,96"
2023-07-16,2023-08-12,Pork Grinds,"10,27","9,25","9,19","9,06","9,85","8,2","10,6","9,5","9,08"
2023-08-13,2023-09-09,Pork Grinds,"10,14","9,61","9,81","9,6","10,1","7,9","10,78","9,65","8,91"
2023-09-10,2023-10-07,Pork Grinds,"10,07","9,59","9,76","9,55","10,44","7,6","10,9","9,63","8,79"
