date,location,vectorid,price,product,unit_quantity,unit,category,z_score
1995-01-01,Canada,v735165,10.17,Round steak,1.0,kilogram,Protein,-0.9889733136353628
1995-01-01,Canada,v735176,11.25,Sirloin steak,1.0,kilogram,Protein,-1.185075271688755
1995-01-01,Canada,v735187,12.08,Prime rib roast,1.0,kilogram,Protein,-1.3120559977725077
1995-01-01,Canada,v735198,7.23,Blade roast,1.0,kilogram,Protein,-0.9006344217260244
1995-01-01,Canada,v735209,7.12,Stewing beef,1.0,kilogram,Protein,-1.0307393751094938
1995-01-01,Canada,v735220,3.73,Ground beef,1.0,kilogram,Protein,-1.2062984973055066
1995-01-01,Canada,v735221,8.36,Pork chops,1.0,kilogram,Protein,-1.4055322696551837
1995-01-01,Canada,v735222,4.9,Butt roast,1.0,kilogram,Protein,-1.704530811558111
1995-01-01,Canada,v735223,3.72,Chicken,1.0,kilogram,Protein,-1.6614122024753177
1995-01-01,Canada,v735166,3.0,Bacon,500.0,grams,Protein,-1.5081071188589614
1995-01-01,Canada,v735167,2.62,Wieners,450.0,grams,Protein,-0.6880651535707316
1995-01-01,Canada,v735168,3.64,Canned salmon,213.0,grams,Protein,-0.4537004320055924
1995-01-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages,-0.8667876048692997
1995-01-01,Canada,v735170,1.3,Partly skimmed milk,1.0,litre,Beverages,-0.8872060302712669
1995-01-01,Canada,v735171,2.83,Butter,454.0,grams,Protein,-1.5560490052526745
1995-01-01,Canada,v735172,2.49,Processed cheese slices,250.0,grams,Dairy,-1.4204383419408946
1995-01-01,Canada,v735173,0.99,Evaporated milk,385.0,millilitres,Beverages,-1.5114814184015735
1995-01-01,Canada,v735174,1.56,Eggs,1.0,dozen,Protein,-1.5813232848173397
1995-01-01,Canada,v735175,1.27,Bread,675.0,grams,Grains,-1.3859584682004147
1995-01-01,Canada,v735177,1.87,Soda crackers,450.0,grams,Grains,-1.0609165271004564
1995-01-01,Canada,v735178,0.96,Macaroni,500.0,grams,Grains,-1.1312127859831898
1995-01-01,Canada,v735179,3.27,Flour,2.5,kilograms,Grains,-1.3230824031688015
1995-01-01,Canada,v735180,3.03,Corn flakes,675.0,grams,Grains,-1.2606998657099133
1995-01-01,Canada,v735181,2.08,Apples,1.0,kilogram,Veg_Fruits,-1.5927747263233023
1995-01-01,Canada,v735182,1.37,Bananas,1.0,kilogram,Veg_Fruits,-0.29248274530610907
1995-01-01,Canada,v735183,1.31,Grapefruits,1.0,kilogram,Veg_Fruits,-1.5673253917383247
1995-01-01,Canada,v735184,1.55,Oranges,1.0,kilogram,Veg_Fruits,-1.9058907471713924
1995-01-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages,-1.647265183352819
1995-01-01,Canada,v735186,1.63,Orange juice,1.0,litre,Beverages,-2.149640754236744
1995-01-01,Canada,v735188,0.84,Cabbage,1.0,kilogram,Veg_Fruits,-0.41868139621324924
1995-01-01,Canada,v735189,1.18,Carrots,1.0,kilogram,Veg_Fruits,-1.0961506382420338
