date,location,vectorid,price,product,unit_quantity,unit,category
1995-01-01,Canada,v735165,10.17,Round steak,1.0,kilogram,Protein
1995-01-01,Canada,v735176,11.25,Sirloin steak,1.0,kilogram,Protein
1995-01-01,Canada,v735187,12.08,Prime rib roast,1.0,kilogram,Protein
1995-01-01,Canada,v735198,7.23,Blade roast,1.0,kilogram,Protein
1995-01-01,Canada,v735209,7.12,Stewing beef,1.0,kilogram,Protein
1995-01-01,Canada,v735220,3.73,Ground beef,1.0,kilogram,Protein
1995-01-01,Canada,v735221,8.36,Pork chops,1.0,kilogram,Protein
1995-01-01,Canada,v735222,4.9,Butt roast,1.0,kilogram,Others
1995-01-01,Canada,v735223,3.72,Chicken,1.0,kilogram,Protein
1995-01-01,Canada,v735166,3.0,Bacon,500.0,grams,Protein
1995-01-01,Canada,v735167,2.62,Wieners,450.0,grams,Protein
1995-01-01,Canada,v735168,3.64,Canned salmon,213.0,grams,Protein
1995-01-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages
1995-01-01,Canada,v735170,1.3,Partly skimmed milk,1.0,litre,Beverages
1995-01-01,Canada,v735171,2.83,Butter,454.0,grams,Dairy
1995-01-01,Canada,v735172,2.49,Processed cheese slices,250.0,grams,Dairy
1995-01-01,Canada,v735173,0.99,Evaporated milk,385.0,millilitres,Beverages
1995-01-01,Canada,v735174,1.56,Eggs,1.0,dozen,Protein
1995-01-01,Canada,v735175,1.27,Bread,675.0,grams,Grains
1995-01-01,Canada,v735177,1.87,Soda crackers,450.0,grams,Grains
1995-01-01,Canada,v735178,0.96,Macaroni,500.0,grams,Grains
1995-01-01,Canada,v735179,3.27,Flour,2.5,kilograms,Grains
1995-01-01,Canada,v735180,3.03,Corn flakes,675.0,grams,Grains
1995-01-01,Canada,v735181,2.08,Apples,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735182,1.37,Bananas,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735183,1.31,Grapefruits,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735184,1.55,Oranges,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages
1995-01-01,Canada,v735186,1.63,Orange juice,1.0,litre,Beverages
1995-01-01,Canada,v735188,0.84,Cabbage,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735189,1.18,Carrots,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735190,2.63,Celery,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735191,5.62,Mushrooms,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735192,1.04,Onions,1.0,kilogram,Veg_Fruits
1995-01-01,Canada,v735193,2.7,Potatoes,4.54,kilograms,Veg_Fruits
1995-01-01,Canada,v735194,1.71,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-01-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based
1995-01-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-01-01,Canada,v735197,1.45,Tomato juice,1.36,litres,Beverages
1995-01-01,Canada,v735199,2.41,Ketchup,1.0,litre,Other_foods
1995-01-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods
1995-01-01,Canada,v735201,4.22,"Coffee, roasted",300.0,grams,Beverages
1995-01-01,Canada,v735202,7.02,"Coffee, instant",200.0,grams,Beverages
1995-01-01,Canada,v735203,2.64,Tea ,72.0,bags,Beverages
1995-01-01,Canada,v735204,2.97,Cooking or salad oil,1.0,litre,Oils
1995-01-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods
1995-01-01,Canada,v735207,2.65,Peanut butter,500.0,grams,Other_foods
1995-01-01,Canada,v735208,1.29,Fruit flavoured crystals,2.25,litres,Beverages
1995-01-01,Canada,v735210,1.39,"Soft drinks, cola type",2.0,litres,Beverages
