,date,location,product,vectorid,price
0,1995-01-01,Canada,"Round steak, 1 kilogram",v735165,10.17
1,1995-01-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.25
2,1995-01-01,Canada,"Prime rib roast, 1 kilogram",v735187,12.08
3,1995-01-01,Canada,"Blade roast, 1 kilogram",v735198,7.23
4,1995-01-01,Canada,"Stewing beef, 1 kilogram",v735209,7.12
5,1995-01-01,Canada,"Ground beef, 1 kilogram",v735220,3.73
6,1995-01-01,Canada,"Pork chops, 1 kilogram",v735221,8.36
7,1995-01-01,Canada,"Butt roast, 1 kilogram",v735222,4.9
8,1995-01-01,Canada,"Chicken, 1 kilogram",v735223,3.72
9,1995-01-01,Canada,"Bacon, 500 grams",v735166,3.0
10,1995-01-01,Canada,"Wieners, 450 grams",v735167,2.62
11,1995-01-01,Canada,"Canned salmon, 213 grams",v735168,3.64
12,1995-01-01,Canada,"Homogenized milk, 1 litre",v735169,1.34
13,1995-01-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.3
14,1995-01-01,Canada,"Butter, 454 grams",v735171,2.83
15,1995-01-01,Canada,"Processed cheese slices, 250 grams",v735172,2.49
16,1995-01-01,Canada,"Evaporated milk, 385 millilitres",v735173,0.99
17,1995-01-01,Canada,"Eggs, 1 dozen",v735174,1.56
18,1995-01-01,Canada,"Bread, 675 grams",v735175,1.27
19,1995-01-01,Canada,"Soda crackers, 450 grams",v735177,1.87
20,1995-01-01,Canada,"Macaroni, 500 grams",v735178,0.96
21,1995-01-01,Canada,"Flour, 2.5 kilograms",v735179,3.27
22,1995-01-01,Canada,"Corn flakes, 675 grams",v735180,3.03
23,1995-01-01,Canada,"Apples, 1 kilogram",v735181,2.08
24,1995-01-01,Canada,"Bananas, 1 kilogram",v735182,1.37
25,1995-01-01,Canada,"Grapefruits, 1 kilogram",v735183,1.31
26,1995-01-01,Canada,"Oranges, 1 kilogram",v735184,1.55
27,1995-01-01,Canada,"Apple juice, 1.36 litres",v735185,1.41
28,1995-01-01,Canada,"Orange juice, 1 litre",v735186,1.63
29,1995-01-01,Canada,"Cabbage, 1 kilogram",v735188,0.84
30,1995-01-01,Canada,"Carrots, 1 kilogram",v735189,1.18
31,1995-01-01,Canada,"Celery, 1 kilogram",v735190,2.63
32,1995-01-01,Canada,"Mushrooms, 1 kilogram",v735191,5.62
33,1995-01-01,Canada,"Onions, 1 kilogram",v735192,1.04
